;modelo;combustivel;preco;ano;km;cor;cambio;cidade;airbag motorista;freios ABS;airbag passageiro;ar-condicionado;direção elétrica;volante com regulagem de altura;travas elétricas;cd player com MP3;entrada USB;vidros elétricos dianteiros;limajuste de alturap. traseiro;desemb. traseiro;alarme;câmbio automático;ajuste de altura;distribuição eletrônica de frenagem,;controle de tração;retrovisores elétricos;piloto automático;Kit Multimídia;bancos de couro;limp. traseiro;longitude;latitude;cilindrada
0;Fiat Siena Fire 1.0 8V (Flex) 2010;Flex; 24.900,00;2009;169.000;Prata;0;Bragança Paulista;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-46.54188;-22.952681;1000.0
1;Volkswagen Gol 1.0 VHT (Rock in Rio) 2012;Flex; 34.990,00;2011;251.847;Vermelho;0;Campinas;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;-47.06595;-22.905346;1000.0
2;Volkswagen Gol 1.6 VHT City (Flex) 4p 2014;Flex; 38.900,00;2013;180.340;Branco;0;São Pedro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-47.909579;-22.548256;1600.0
3;Citroën C3 Picasso GLX BVA 1.6 16V (Flex) (Aut) 2012;Flex; 37.900,00;2011;81.000;Prata;1;Jaraguá do Sul;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;-49.07125;-26.485083;1600.0
4;Peugeot 307 Hatch. Presence 1.6 16V (flex) 2011;Flex; 29.900,00;2010;109.800;Prata;0;Estância Velha;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;-51.184339;-29.65354;1600.0
5;Peugeot 307 Sedan Griffe 2.0 16V (aut) 2008;Flex; 24.900,00;2007;96.000;Prata;1;São Paulo;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;-46.63952;-23.532905;2000.0
6;Nissan Sentra 2.0 16V (flex) 2013;Flex; 37.900,00;2012;139.439;Preto;1;Brasília;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;-47.929657;-15.779522;2000.0
7;Nissan March 1.0 12V S (Flex) 2015;Flex; 36.900,00;2014;123.000;Prata;0;Belo Horizonte;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;-43.926572;-19.910183;1000.0
8;Volkswagen Voyage 1.6 MSI (Flex) 2021;Flex; 56.440,00;2020;54.427;Cinza;0;Feira de Santana;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;-38.966293;-12.266429;1600.0
9;Volkswagen Fox 1.0 VHT (Flex) 4p 2012;Flex; 36.900,00;2011;116.000;Prata;0;São José;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-48.636607;-27.613577;1000.0
10;Volkswagen Up! 1.0 12v E-Flex take up! 2p 2016;Flex; 36.990,00;2015;104.924;Branco;0;Lins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-49.752555;-21.67182;1000.0
11;Volkswagen T-Cross 1.0 200 TSI Comfortline (Aut) 2022;Flex; 119.990,00;2022;32.868;Preto;1;São Carlos;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0;-47.885971;-22.017395;1000.0
12;Fiat Mobi Evo Easy 1.0 (Flex) 2018;Flex; 37.900,00;2017;100.000;Branco;0;Mogi Mirim;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.950514;-22.431878;1000.0
13;Volkswagen CrossFox 1.6 (Flex) 2009;Flex; 35.000,00;2009;215.000;Prata;0;Sinop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-55.509062;-11.86043;1600.0
14;Volkswagen CrossFox 1.6 (Flex) 2008;Flex; 32.990,00;2008;100.051;Cinza;0;Belo Horizonte;0;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;-43.926572;-19.910183;1600.0
15;Renault Symbol 1.6 16V Privilège (flex) 2013;Flex; 29.900,00;2012;170.000;Preto;0;Blumenau;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;-49.070904;-26.915501;1600.0
16;Renault Clio Expression 1.0 16V (Flex) 2014;Flex; 30.900,00;2013;109.777;Branco;0;Araucária;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;-49.404748;-25.585939;1000.0
17;Fiat Punto Attractive 1.4 (Flex) 2011;Flex; 34.900,00;2010;164.497;Vermelho;0;Belo Horizonte;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;-43.926572;-19.910183;1400.0
